SubmissionDate,start,end,info-logo,info-mission,info-date_prelevement,info-localite,info-piegeur,type__prelevement,ecouvillon_piege-note_ecouvillon_piege,ecouvillon_piege-id_piege,ecouvillon_piege-id_tube_piege,ecouvillon_feuille-note_ecouvillon_feuille,ecouvillon_feuille-photo_de_la_feuille,ecouvillon_feuille-id_tube_feuille,sol_camera-note_sol_camera,sol_camera-id_piege,sol_camera-id_tube_sol_camera,sol_ligne-note_sol_ligne,sol_ligne-id_tube_sol_ligne,meta-instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2024-06-21T20:14:52.401Z,2024-06-21T22:13:54.710+02:00,2024-06-21T22:14:51.546+02:00,,BePrep Juin 24,2024-06-21T22:13:00.000+02:00,Pierroton,,ecouvillon_piege,,CAM004,ECAM001,,,,,,,,,uuid:4e2f1fec-3ed8-4b2f-ad42-83f48014aead,uuid:4e2f1fec-3ed8-4b2f-ad42-83f48014aead,577,jpradel,0,0,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-19T08:46:47.012Z,2024-06-19T10:28:18.103+02:00,2024-06-19T10:46:45.392+02:00,,BePrep Juin 24,2024-06-19T10:28:00.000+02:00,22,,toile ecouvillon_feuille sol_ligne,,,,,1718786775682.jpg,LEAF040,,,,,SOIL040,uuid:27c63be7-538c-4c73-9b7a-92f4b0ac9387,uuid:27c63be7-538c-4c73-9b7a-92f4b0ac9387,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-19T08:07:32.212Z,2024-06-19T09:52:31.457+02:00,2024-06-19T10:07:30.060+02:00,,BePrep Juin 24,2024-06-19T09:52:00.000+02:00,21,,toile ecouvillon_feuille sol_ligne,,,,,1718784432610.jpg,LEAF039,,,,,SOIL039,uuid:a319c2ff-8e1a-4490-b79b-4cebb539697e,uuid:a319c2ff-8e1a-4490-b79b-4cebb539697e,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-19T07:37:47.475Z,2024-06-19T09:33:54.050+02:00,2024-09-18T10:44:01.657+02:00,,BePrep Juin 24,2024-06-19T09:33:00.000+02:00,29,,toile ecouvillon_feuille sol_ligne,,,,,1718782465210.jpg,LEAF038,,,,,SOIL038,uuid:1b580d47-1185-4168-af8f-22b831666655,uuid:7cd5ff1f-b484-405c-9fd7-6061af3fa3bd,577,jpradel,1,1,,edited,collect:CLDO6KrzRLQ1o7rw,1,2
2024-06-19T07:33:49.416Z,2024-06-19T08:59:48.566+02:00,2024-06-19T09:15:44.166+02:00,,BePrep Juin 24,2024-06-19T08:59:00.000+02:00,19,,toile ecouvillon_feuille sol_ligne,,,,,1718780936581.jpg,LEAF037,,,,,SOIL037,uuid:a2d53a19-08cb-4bf0-9127-dc3a4fc14d73,uuid:a2d53a19-08cb-4bf0-9127-dc3a4fc14d73,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-19T06:49:58.181Z,2024-06-19T08:40:36.846+02:00,2024-06-19T08:47:09.362+02:00,,BePrep Juin 24,2024-06-19T08:40:00.000+02:00,24,,toile ecouvillon_feuille sol_ligne,,,,,1718779282090.jpg,LEAF036,,,,,SOIL036,uuid:8b716a8c-0933-400e-a855-b681039d8748,uuid:8b716a8c-0933-400e-a855-b681039d8748,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-18T14:04:10.533Z,2024-06-18T15:20:02.368+02:00,2024-06-18T15:20:55.230+02:00,,BePrep Juin 24,2024-06-18T15:20:00.000+02:00,23,,toile ecouvillon_feuille sol_ligne,,,,,1718716832951.jpg,LEAF035,,,,,SOIL035,uuid:c295abfb-fde2-4dcf-b1f9-06cd703377bd,uuid:c295abfb-fde2-4dcf-b1f9-06cd703377bd,794,CBGP1,1,1,,,collect:UEq6odFVvoUsTUqe,0,2
2024-06-18T14:04:06.662Z,2024-06-18T14:23:47.990+02:00,2024-06-18T14:31:09.366+02:00,,BePrep Juin 24,2024-06-18T14:23:00.000+02:00,53,,toile ecouvillon_feuille sol_ligne,,,,,1718713464797.jpg,LEAF034,,,,,SOIL034,uuid:8fd3cd64-25ba-4074-a0a1-cb3bc15cdb66,uuid:8fd3cd64-25ba-4074-a0a1-cb3bc15cdb66,794,CBGP1,1,1,,,collect:UEq6odFVvoUsTUqe,0,2
2024-06-18T12:11:14.462Z,2024-06-18T14:03:22.351+02:00,2024-06-18T14:04:11.255+02:00,,BePrep Juin 24,2024-06-18T14:03:00.000+02:00,47,,toile ecouvillon_feuille sol_ligne,,,,,1718712232883.jpg,LEAF033,,,,,SOIL033,uuid:691f82a5-5838-4ea3-ac94-dc0876916d9d,uuid:691f82a5-5838-4ea3-ac94-dc0876916d9d,794,CBGP1,1,1,,,collect:UEq6odFVvoUsTUqe,0,2
2024-06-18T09:01:28.780Z,2024-06-18T11:00:27.368+02:00,2024-06-18T11:01:27.610+02:00,,BePrep Juin 24,2024-06-18T11:00:00.000+02:00,26,,toile ecouvillon_feuille sol_ligne,,,,,1718701262165.jpg,LEAF032,,,,,SOIL032,uuid:b9e1926f-4022-4293-a4d3-9294810a73c1,uuid:b9e1926f-4022-4293-a4d3-9294810a73c1,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
2024-06-18T08:33:04.431Z,2024-06-18T10:31:58.880+02:00,2024-06-18T10:33:01.890+02:00,,BePrep Juin 24,2024-06-18T10:31:00.000+02:00,27,,toile ecouvillon_feuille sol_ligne,,,,,1718699566349.jpg,LEAF031,,,,,SOIL031,uuid:59c1f010-ea90-449a-a9a1-0308f9326e68,uuid:59c1f010-ea90-449a-a9a1-0308f9326e68,577,jpradel,1,1,,,collect:CLDO6KrzRLQ1o7rw,0,2
