localisation_toile-Latitude,localisation_toile-Longitude,localisation_toile-Altitude,localisation_toile-Accuracy,type_toile,note_toile,id_tube_toile,PARENT_KEY,KEY
,,,,Mix,,WEB040,uuid:27c63be7-538c-4c73-9b7a-92f4b0ac9387,uuid:27c63be7-538c-4c73-9b7a-92f4b0ac9387/toile[1]
,,,,Mix,,WEB039,uuid:a319c2ff-8e1a-4490-b79b-4cebb539697e,uuid:a319c2ff-8e1a-4490-b79b-4cebb539697e/toile[1]
,,,,Mix,,WEB038,uuid:7cd5ff1f-b484-405c-9fd7-6061af3fa3bd,uuid:7cd5ff1f-b484-405c-9fd7-6061af3fa3bd/toile[1]
,,,,Mix,,WEB037,uuid:a2d53a19-08cb-4bf0-9127-dc3a4fc14d73,uuid:a2d53a19-08cb-4bf0-9127-dc3a4fc14d73/toile[1]
,,,,Mix,,WEB036,uuid:8b716a8c-0933-400e-a855-b681039d8748,uuid:8b716a8c-0933-400e-a855-b681039d8748/toile[1]
,,,,Mix,,WEB035,uuid:c295abfb-fde2-4dcf-b1f9-06cd703377bd,uuid:c295abfb-fde2-4dcf-b1f9-06cd703377bd/toile[1]
,,,,Mix,,WEB034,uuid:8fd3cd64-25ba-4074-a0a1-cb3bc15cdb66,uuid:8fd3cd64-25ba-4074-a0a1-cb3bc15cdb66/toile[1]
,,,,Mix,,WEB033,uuid:691f82a5-5838-4ea3-ac94-dc0876916d9d,uuid:691f82a5-5838-4ea3-ac94-dc0876916d9d/toile[1]
,,,,Mix,,WEB032,uuid:b9e1926f-4022-4293-a4d3-9294810a73c1,uuid:b9e1926f-4022-4293-a4d3-9294810a73c1/toile[1]
,,,,Mix,,WEB031,uuid:59c1f010-ea90-449a-a9a1-0308f9326e68,uuid:59c1f010-ea90-449a-a9a1-0308f9326e68/toile[1]
,,,,Mix,,WEB030,uuid:7daf8fc6-de64-4dfe-bd2f-6803e35b12b6,uuid:7daf8fc6-de64-4dfe-bd2f-6803e35b12b6/toile[1]
,,,,Mix,,WEB029,uuid:1adc402e-7ce2-4171-8a67-e46996dab5f5,uuid:1adc402e-7ce2-4171-8a67-e46996dab5f5/toile[1]
